"ОИК №1","ОИК №2","ОИК №3","ОИК №4","ОИК №5","ОИК №6","ОИК №7","ОИК №8","ОИК №9","ОИК №10","ОИК №11","ОИК №12"
"565","542","791","641","627","465","560","1792","579","421","740","341"
"2159","3024","2096","2563","2113","4154","2971","3479","3493","2840","1476","2832"
"1162","1519","970","1295","1110","2071","1514","1686","1728","1469","1127","1430"
